name,entname,price,area,last_time,detail_url,edu,content,welfare
少儿编程机器人老师,广西巧课易教育咨询有限公司,4000,兴宁区,2021-11-28,https://www.gxrc.com/jobDetail/8e188670f6ff42c1bc04e1f3b167c432,学历不限,"岗位职责：1) 按照童程教研课程内容，负责讲授课程；2) 负把控班级学员学习情况，及时与学员进行沟通交流；3) 负责整理学员学习报告，定期做家长回访，及时发现问题，解决问题；4) 负责及时批改学员作业，并解答学生问题，进行有效的辅导；5) 负责组织学生测评，并评定成绩，做好成绩分析工作；6) 负责配合班主任和其它人员的相关工作。任职资格：1、本科以上学历，计算机、理工科、师范类相关专业。2、普通话标准，具备良好的口头及书面表达能力、逻辑思维能力和动手能力。3、以下情况优先考虑：a.有计算机编程基础。b.熟悉JAVA C语言 Python其中一门语言。c.参加过机器人相关比赛。d.有学生会、社团等组织经历。E.热爱教育事业，有责任心，有爱心，有亲和力。2、熟悉计算机编程语言,scratch\Python\C  。3、具有较强的沟通能力、语言表达能力、动手能力。4、有教师资格证或理工科毕业优先录取。",
技术总监,广西科桂兴信息技术有限责任公司,20000,青秀区,2021-11-28,https://www.gxrc.com/jobDetail/fb449219560e47249190a50f8b09727f,学历本科,"岗位职责：1、私有云系统软件研发，负责系统架构设计工作，包括系统的总体规划、架构设计、系统分析、软件实现、性能优化；2、配合项目经理进行新功能研发，根据需求文档及原型，进行概要设计和详细设计，并完成核心代码编写；3、负责产品的技术选型，设计产品技术架构、接口规范，为开发人员提供更加快速有效的开发框架、服务、公用组件；4、解决项目中的关键架构问题和技术难题，负责项目中关键技术难点的攻关和预研，对开发团队进行技术指导和培训。 任职要求：1、 本科以上学历，计算机相关专业毕业，至少6年以上Java/J2EE开发经验，熟悉web开发，有系统架构能力，熟悉python语言；2、JAVA基础扎实，熟悉IO、多线程、集合等基础框架，熟悉面向对象软件结构知识，了解设计模式，熟悉分布式系统的设计和应用；3、熟悉主流开源框架，SpringCloud、SpringBoot、Spring、SpringMVC、MyBatis等开源框架；4、熟悉MySQL/oracle/sqserver，并有一定的优化经验，熟悉redis等NOSQL数据库并有缓存使用经验；5、熟悉MQ原理和使用（RabbitMQ、ActiveMQ、Kafka）；6、逻辑思维能力强，善于与人沟通，具备一定的协调能力以及较强的敬业精神，热爱技术；7、具有规范的编程习惯与文档编写能力，积极配合公司各项规范化建设工作。8、具有大型系统设计经验者优先,尤其是有大数据技术栈的搭建和使用经验者优先；9、有python ai经验优先。",|
Python工程师,广西知感科技有限公司,8000,南宁市,2021-11-28,https://www.gxrc.com/jobDetail/c58710c307b544f2aeca556ece9e4ddd,学历本科,公共要求 - 诚实、正直、踏实 - 热爱互联网行业，您需要的不仅是一个“工作”，更是“职业”或更多 - 充满钻研热情，不满足于“知其然”，更热衷于“知其所以然” - 基础扎实、热爱学习、乐于拥抱变化 - 能胜任远程工作者 - 熟悉linux系统 优先考虑 - 英语能力较好先考虑 - 有产品意识优先 对于Python开发工程师的要求 - 熟练使用Python / Django / FastAPI 进行开发 - 了解前端开发优先考虑 [职责] - 熟练掌握各项团队协作相关工具 - 运用WEB相关技能、框架进行WEB系统开发、调试 - 与伙伴一起与客户沟通，掌握需求、设计系统,|
运维开发工程师 -python,中国—东盟信息港股份有限公司,15000,良庆区,2020-04-14,https://www.gxrc.com/jobDetail/33ba04a2455e4ef59935e6cf6b5c10c3,学历本科,"核心职责：负责自动化运维平台设计及开发，实现自动化部署、监控、自动化配置等，提高运维效率；负责运维新技术、新平台的研究和实践；与运维团队合作，收集与理解需求，提供解决方案，改善运维流程；任职要求：1，能熟练使用Python/GO 编程语言。2，热爱开源技术，熟悉一种或多种开源软件（Ansible、Django、Celery,ETCD等）3，熟悉linux，Docker、VM等系统4，具有互联网运维平台开发或系统运维经验5，熟悉网络知识，了解DNS/HTTP/Proxy/Load balancing方案和原理6，有较强的沟通能力、推动能力和较好的服务意识，有创业激情，喜欢赢，喜欢挑战，有公司主人翁精神。7，熟悉以下内容者优先考虑：Python，Shell，Perl等脚本语言、Selenium测试框架、持续集成流程及框架(jenkins等)使用，熟悉常用中间件（redis，mysql，zk等）使用及部署",|
python工程师,柳州智视科技有限公司,6000,柳州市,2021-01-15,https://www.gxrc.com/jobDetail/373b3cfe9ed842ffb48f2b5fe84e4259,学历不限,"岗位职责：1、负责爬虫策略和防屏蔽规则设计，后台爬虫数据存储设计以及代码实现；2、负责网页采集任务的分析及采集方案设计及实现；任职要求：1、2年以上开发工作经验，Python基础扎实；2、熟悉多线程、多进程、协程开发、网络编程，精通网页抓取原理及技术的实现细节；3、掌握HTML、CSS、JQuery、RESTful 相关技术；4、具有良好的站点分析经验，能独立处理基于(seeion, cookie)、(AccessToken, Token)、(selenium, splash)、( 访问量, 访问频率)的反爬。自主设计爬取流程；5、熟悉基于规则的网页信息定位，精通正则表达式，xpath语法；6、精通原生Python urllib爬取方式、精通原生Python requests爬取方式、精通框架Python scrapy的爬取方式、熟 悉Python aiohttp 异步请求框架的爬取方式；7、熟悉掌握一种或多种热门关系型数据库和非关系型数据库、熟练使用版本管理工具；8、热爱互联网，对搜索技术和探索未知领域有浓厚兴趣；9、能够高效地沟通,并与团队或跨团队同事有效地协作办公。",|
Python Web开发工程师,柳州中动智轮科技有限公司,8000,柳州新区,2021-11-25,https://www.gxrc.com/jobDetail/3823c3f002904ad8abceb821490b4986,学历不限,"职位描述1、负责用Python语言实现产品的后端研发；2、负责高质量的设计和编码；3、承担重难点技术攻坚任务；4、参与产品的讨论和开发实现；岗位要求1、2年及以上编码经验；2、熟悉Python后台开发, 有完整的项目开发经验，熟练使用Django或Flask框架；3、熟悉前端Html,Css,Js,Jquery使用,以及前端主流框架之一即可(Vue,React,Angular等)；4、熟悉Linux平台，能够独立完成Python项目部署、调优、运维；5、熟悉Mysql/Mongo数据库和Redis数据库的使用；加分项(非必须):1.能独立承担整个项目的设计,编码,有全栈开发经验的优先考虑；2.熟悉RESTful API开发风格, 注重代码的质量,可维护性,健壮性优先；3.有PHP Web开发经验优先；4.对汽车领域, 如汽车动力学, 轮胎动力学领域感兴趣的优先；5.对GUI编程有所了解优先 (如: Matlab GUI编程, Python的PyQT, Tk等)",|
python编程老师,广西聪锐教育科技有限公司,8000,南宁市,2021-09-07,https://www.gxrc.com/jobDetail/b8a651eeb17a4dcda969583d62075040,学历大专,1.提供入职培训，培训期间提供基本工资。2.岗位:教授青少年python课程，备课，课后总结，填写孩子上课内容，定期与家长沟通。认真完成上级布置任务。3.任职要求:喜爱孩子，热爱早教或少儿教育，性感开朗，具有较强亲和力。具有较强动手能力，学习能力，沟通能力。工作认真负责。4.思维灵活，谈吐大方，善于沟通。。5.只要你认真努力，这将是你一个很好的舞台，希望你和公司共同成长，公司也将提供您一个你长期发展的平台。6.薪资=基本工资+补助+提成+课时+奖金,|
python研发工程师,南宁国电电力科技有限责任公司,8000,南宁市,2021-10-21,https://www.gxrc.com/jobDetail/6631632bbafe4e4bae29b446c9b8a52d,学历本科,岗位要求：1、熟悉python及常用的数据分析工具，熟悉pandas，numpy，matplotlib及jupyter notebook等模块使用。2、熟悉Mysql/PostgreSQL等常用数据库或数据服务工具。3、同时熟悉web后端开发，flask框架等优先。其他要求：1、良好的沟通能力，思路清晰，善于思考，能独立分析和解决问题；2、强烈的责任心和团队合作精神，心态积极，能主动融入团队。岗位职责：1、参与数据分析平台开发。2、负责协助和完成相关其他工作等。,|
全栈工程师,广西邕之泰实业有限公司,15000,青秀区,2021-11-28,https://www.gxrc.com/jobDetail/6956fa44925b425dbcbe6b63d6df3092,学历不限,工作职责：1. 扮演关键性角色，负责公司重大项目的开发监督和管理工作，包括但不限于公司供应链金融平台系统、ERP系统、销售系统的前端与后端搭建2. 与产品经理、其他开发团队或供应商、客户进行有效沟通与协作，理解客户需求，了解各类问题3. 提供重大项目的系统架构技术解决方案，为实现相应功能提供高质量、清晰的代码思路，领导完成方案的成功交付4. 在全栈技术方向评估技术的可行性，进行重难问题的攻坚，探索高效开发模式以满足业务的需求5. 收集系统在搭建至使用过程中出现的问题，提出改进建议，以促进持续改进交付    岗位要求：1. 28-35周岁，本科及以上学历，计算机、信息技术、软件工程等相关专业2. 3年及以上全栈开发工作经验，理解前后端全链路流程，在计算机领域具有较完整的知识体系；领导或主要负责大型项目的全栈开发经验者优先3. 熟练掌握前端技术，包括HTML/CSS/JavaScript等，熟练掌握React/Vue等主流前端开发框架4. 熟练掌握至少一种后端开发语言，包括NodeJS/Python/Java/PHP/Golang等5. 熟悉web开发技术、框架和基本原理，了解浏览器基本原理6. 熟悉Mysql、Oracle 、PostgreSQL至少一种数据库；熟悉 Redis、消息队列等基本组件7. 具有成熟的人际交往能力，具有团队合作精神；8. 抗压能力强，适应快节奏工作环境,
Python软件开发岗,中国太平洋财产保险股份有限公司广西分公司,8000,青秀区,2021-11-04,https://www.gxrc.com/jobDetail/13874bfd96e849fc8fb336749ee7dc38,学历本科,一、工作地点：广西南宁二、应聘要求：1、全日制本科及以上学历，信息技术、计算机专业；2、年龄在30周岁以下，条件特别优秀者可适当放宽;3、熟悉Python，熟悉selenium等RPA流程自动化技术；4、熟悉Flask 或Django框架；5、熟悉常用关系型数据库，熟悉sql语句；6、有较强的业务知识学习能力，较强的沟通、理解和表达能力；7、工作积极主动，责任心强，具备良好的团队协作精神。三、福利待遇：1、工资：基本工资+月绩效奖金+年终奖，提供有市场竞争力的薪资体系；2、社保：统一购买五险一金；3、福利：各种节假日福利；组织免费体检；购买人身意外伤害保险、意外医疗保险；4、休假：员工工作满一年享受带薪年休假，享受国家法定节假日；5、培训：有健全的培训机制，让员工更快融入公司，适应岗位工作；5、发展：具有公平畅通的晋升机制，为员工成长提供良好的职业发展平台。四、实习：可为在校生提供实习机会，并提供一定的实习补贴。五、地址及联系人：分公司地址：南宁市金洲路25号太平洋世纪广场；,|
